college_id,admission_id,gpa,sat,act,matric,university_id,hook_athlete,hook_first_gen,hook_legacy
229,10502,9.64,1540,,Babson College,164580,FALSE,FALSE,FALSE
230,10535,9.64,1420,,Boston College,164924,FALSE,FALSE,FALSE
231,230382,9.6,,32,Boston University,164988,TRUE,FALSE,FALSE
232,230855,9.6,,28,Yale University,130794,TRUE,FALSE,FALSE
233,10379,9.59,,31,Brown University,217156,TRUE,FALSE,FALSE
234,10384,9.57,,24,Tufts University,168148,FALSE,FALSE,FALSE
235,10305,9.54,1410,,The New School,193654,FALSE,FALSE,FALSE
236,10441,9.53,,32,Boston University,164988,FALSE,FALSE,FALSE
237,10448,9.53,1500,,Boston College,164924,TRUE,FALSE,FALSE
238,10349,9.5,1220,,University of Vermont,231174,FALSE,FALSE,FALSE
239,10388,9.5,1490,,Princeton University,186131,TRUE,FALSE,TRUE
240,17474,9.5,1130,,Ithaca College,191968,TRUE,FALSE,FALSE
241,90596,9.47,,25,Tufts University,168148,TRUE,FALSE,FALSE
242,10550,9.44,,29,Washington University in St Louis,179867,FALSE,FALSE,FALSE
243,10363,9.42,1200,,Colby College,161086,TRUE,FALSE,FALSE
244,10038,9.39,1220,31,William & Mary,231624,FALSE,FALSE,FALSE
245,10310,9.38,,,University of Connecticut,129020,TRUE,FALSE,FALSE
246,10214,9.37,,30,University of Oregon,209551,FALSE,FALSE,FALSE
247,10654,9.37,950,23,Columbia University in the City of New York,190150,FALSE,FALSE,FALSE
248,17475,9.32,,26,Amherst College,164465,FALSE,FALSE,FALSE
249,10220,9.25,1350,32,Skidmore College,195526,TRUE,FALSE,FALSE
250,10257,9.25,,,Wheaton College,149781,FALSE,FALSE,FALSE
251,91377,9.22,,28,Princeton University,186131,TRUE,FALSE,FALSE
252,10089,9.18,1240,27,Florida Agricultural and Mechanical University,133650,FALSE,FALSE,FALSE
253,10709,9.09,,,University of Virginia-Main Campus,234076,TRUE,FALSE,FALSE
254,10042,9.06,,22,Cornell University,190415,TRUE,FALSE,FALSE
255,10819,9.06,1310,29,Bates College,160977,TRUE,FALSE,FALSE
256,10500,9.05,,,Hamilton College,191515,TRUE,FALSE,FALSE
257,10271,8.81,,,University of Connecticut,129020,TRUE,FALSE,FALSE
258,10308,8.76,,,Union College,196866,TRUE,TRUE,FALSE
259,89093,8.63,,,Skidmore College,195526,TRUE,TRUE,FALSE
260,10394,8.5,,,Middlebury College,230959,TRUE,FALSE,FALSE
261,10666,8.47,,,Boston College,164924,FALSE,FALSE,TRUE
262,10540,8.45,,,Middlebury College,230959,FALSE,FALSE,FALSE
263,10166,8.44,,,Worcester Polytechnic Institute,168421,FALSE,TRUE,FALSE
264,231415,8.4,,,Tufts University,168148,FALSE,FALSE,FALSE
265,235281,8.36,,,Trinity College,130590,FALSE,FALSE,FALSE
266,10548,8.33,,,Union College,196866,TRUE,FALSE,FALSE
267,20364,8.15,,,William & Mary,231624,TRUE,FALSE,FALSE
268,10822,7.9,,,Springfield College,167899,TRUE,TRUE,FALSE
